date,user_type,app_ver,dau,valid_rate,avg_expose,avg_vv,avg_dur,avg_xiaofei_dur,ctr,utr
20260117,大盘用户,20.11.1010115,239157,0.36374431858569894,12.1390885485267,3.996094615670877,10.873819890769104,5.505082939867953,0.3291923112428302,0.2620747040646939
20260117,大盘用户,20.11.10115,224854,0.36407179769984077,12.015094238928372,3.857974507902906,10.646832280502014,5.7236342027864,0.32109398654595983,0.2652387771620696
20260116,大盘用户,20.11.10115,75444,0.35071046073909123,10.823100577912093,2.973728858491066,9.021026705459237,4.515705057835393,0.2747575740504422,0.23905148189385506
20260117,老用户,20.11.10115,223694,0.36471697944513487,12.04847693724463,3.8755889742237164,10.644327209715057,5.748606113708906,0.32166629810639175,0.2662968161863975
20260118,大盘用户,20.11.1010115,339748,0.36496462083662007,12.334312490434087,4.215674558790633,11.10192529850556,5.900511998353682,0.3417843160743748,0.29057713364022747
20260116,大盘用户,20.11.1010115,81064,0.34778693378071646,10.944266258758512,3.0849575643935654,8.576669359806244,4.4192431124379095,0.281878884472929,0.23614674824829765
20260118,新用户,20.11.1010115,1434,0.26569037656903766,5.48744769874477,0.7921896792189679,7.093033379823338,0.5246398186889818,0.14436395984241962,0.09344490934449093
20260118,新用户,20.11.10115,1275,0.22745098039215686,4.9231372549019605,0.4964705882352941,4.701387790849673,0.43539641830065356,0.10084435239764218,0.08313725490196078
20260118,老用户,20.11.10115,318283,0.36406908317440767,12.294580609080597,4.124144236418533,11.461214908273455,6.212403873177854,0.3354440763414492,0.2936380516709972
20260118,大盘用户,20.11.10115,319558,0.3635239925146609,12.265169390220242,4.109670232007961,11.434243968491897,6.189354271837976,0.3350683632045758,0.2927981774826479
20260116,老用户,20.11.1010115,80352,0.34867831541218636,10.988799283154123,3.11031461569096,8.550563808202243,4.456909542595912,0.2830440829380773,0.23784099960175228
20260118,老用户,20.11.1010115,338314,0.36538541118605794,12.363334062439035,4.23018556725409,11.11891765179685,5.923298524201383,0.3421557280495872,0.2914127112682301
20260116,新用户,20.11.1010115,712,0.24719101123595505,5.918539325842697,0.22331460674157302,11.522783520599251,0.16843834269662922,0.037731371618414805,0.0449438202247191
20260116,老用户,20.11.10115,74816,0.35159591531223267,10.87360992301112,2.995656009409752,9.04109720046514,4.551100044999287,0.27549783656210053,0.24052341745081265
20260117,老用户,20.11.1010115,237961,0.3642487634528347,12.17062039577914,4.011283361559247,10.89781766816131,5.529864813701965,0.32958741880984055,0.26304730607116295
20260117,新用户,20.11.10115,1160,0.2396551724137931,5.577586206896552,0.46120689655172414,11.129909267241379,0.9080595114942529,0.08268933539412673,0.061206896551724135
20260116,新用户,20.11.10115,628,0.24522292993630573,4.805732484076433,0.3614649681528662,6.629953211252654,0.29896722399150744,0.0752153744201458,0.06369426751592357
20260117,新用户,20.11.1010115,1196,0.2633779264214047,5.865384615384615,0.9740802675585284,6.09912498606466,0.5743810340022296,0.1660727013542409,0.06856187290969899
