name	label	aggregator	fieldType	displayType	alias
CycleDiff(日期_天,1,有效用户渗透率)	有效用户渗透率_日环比		4	number	有效用户渗透率_日环比
if(feed_channel not in ('push'), consum_pv, 0)	消费时长_不含push	sum	2	number	消费时长_不含push
case when feed_channel != 'push' and (expose_pv>0 or consum_pv>0) then did end	信息流DAU_不含push	distinct-count	2	number	信息流DAU_不含push
if(is_feed_active_new=1 and page='列表页' and feed_channel in('热点','推荐'),dura,0)	列表页有效时长	sum	2	number	有效用户列表页时长
if(page in ('短小融合沉浸页','小视频沉浸页'), dura, 0)	视频沉浸态时长	sum	2	number	视频沉浸态时长
if(page in ('短小融合沉浸页','小视频沉浸页') and root_gid != '未知', concat(did,root_gid), null)	点击进入内流的次数	distinct-count	2	number	进入内流的次数
if(feed_channel in ('热点','推荐') and page in ('短小融合沉浸页') and is_click_content_enter='true', consum_dura, 0)	双频道短小流消费时长	sum	2	number	双频道短小融合流消费时长
if(feed_channel in ('热点','推荐') and page in ('短小融合沉浸页') and root_gid != '未知' and is_click_content_enter='true', consum_dura, 0)	去首条双频道短小流消费时长	sum	2	number	去首条短小融合流消费时长
去首条短小融合流消费时长/短视频点击后下滑PV	去首条次均短小流消费时长		4	number	去首条次均内流消费时长
双频道短小融合流消费时长/列表页短视频点击PV	次均短小流消费时长		4	number	次均短小融合流消费时长
if(feed_channel in ('热点','推荐') and page in ('列表页') and item_type='短视频',click_pv,0)	短视频点击PV	sum	2	number	列表页短视频点击PV
if(feed_channel in ('热点','推荐') and page in ('列表页') and item_type='小视频',click_pv,0)	小视频点击PV	sum	2	number	小视频点击PV
if(feed_channel in ('热点','推荐') and page in ('小视频沉浸页') and is_click_content_enter='true', consum_dura, 0)	双频道小沉流消费时长	sum	2	number	双频道小视频流消费时长
if(feed_channel in ('热点','推荐') and page in ('小视频沉浸页') and root_gid != '未知' and is_click_content_enter='true', consum_dura, 0)	去首条双频道小沉流消费时长	sum	2	number	去首条双频道小视频流消费时长
双频道小视频流消费时长/小视频点击PV	次均小沉流消费时长		4	number	次均小视频流消费时长
去首条双频道小视频流消费时长/小视频点击后下滑PV	去首条次均小沉流消费时长		4	number	去首条次均小视频流消费时长
if(feed_channel in ('热点','推荐') and page in ('列表页') and item_type='短视频',xiahua_pv,0)	短视频点击后下滑PV	sum	2	number	短视频点击后下滑PV
if(feed_channel in ('热点','推荐') and page in ('列表页') and item_type='小视频',xiahua_pv,0)	小视频点击后下滑PV	sum	2	number	小视频点击后下滑PV
if(feed_channel in ('热点','推荐') and page in ('短小融合沉浸页') and is_click_content_enter='true', consum_pv, 0)	双频道短小流消费VV	sum	2	number	双频道短小融合流消费VV
if(feed_channel in ('热点','推荐') and page in ('短小融合沉浸页') and root_gid != '未知' and is_click_content_enter='true', consum_pv, 0)	去首条双频道短小流消费VV	sum	2	number	去首条双频道短小融合流消费VV
if(feed_channel in ('热点','推荐') and page in ('小视频沉浸页') and is_click_content_enter='true', consum_pv, 0)	双频道小沉流消费VV	sum	2	number	双频道小视频流消费VV
if(feed_channel in ('热点','推荐') and page in ('小视频沉浸页') and root_gid != '未知' and is_click_content_enter='true', consum_pv, 0)	去首条双频道小沉流消费VV	sum	2	number	去首条双频道小视频流消费VV
双频道短小融合流消费VV/列表页短视频点击PV	次均短小流消费VV		4	number	次均短小融合流消费VV
去首条双频道短小融合流消费VV/短视频点击后下滑PV	去首条次均短小流消费VV		4	number	去首条次均短小融合流消费VV
次均短小融合流消费VV/小视频点击PV	次均小沉流消费VV		4	number	次均小视频流消费VV
去首条双频道小视频流消费VV/小视频点击后下滑PV	去首条次均小沉流消费VV		4	number	去首条次均小视频流消费VV
case when feed_channel in ('热点','推荐') then consum_dura end	双频道消费时长	sum	2	number	双频道消费时长
